#iter###L2_1###L2_2###L2_3#
10,0.72416,0.70166,0.68011
20,0.79421,0.76125,0.73968
30,0.87421,0.85294,0.80936
40,0.91985,0.91158,0.85461
50,0.93213,0.93196,0.8703
60,0.92914,0.93479,0.87053
70,0.91098,0.92052,0.85602
80,0.89074,0.90283,0.83873
90,0.86879,0.88328,0.8198
100,0.84804,0.86507,0.80192
110,0.82905,0.84882,0.78571
120,0.81122,0.83361,0.7707
130,0.79453,0.81932,0.75697
140,0.779,0.80578,0.74447
150,0.76475,0.79295,0.73313
160,0.75149,0.78081,0.72301
170,0.73997,0.77016,0.71471
180,0.73037,0.7611,0.70835
190,0.72163,0.7528,0.70288
200,0.7135,0.74461,0.69771
210,0.705,0.73551,0.69189
220,0.69609,0.72536,0.68537
230,0.68702,0.71431,0.67852
240,0.67802,0.70286,0.6717
250,0.6693,0.69152,0.6651
260,0.66086,0.6804,0.65867
270,0.65176,0.66858,0.6515
280,0.64166,0.65578,0.64313
290,0.62991,0.64132,0.63276
300,0.6158,0.62465,0.61965
310,0.59925,0.60544,0.60433
320,0.58197,0.58511,0.58852
330,0.56285,0.56195,0.57023
340,0.54206,0.5367,0.54916
350,0.52174,0.51217,0.52779
360,0.50217,0.48916,0.50638
370,0.48296,0.46731,0.48447
380,0.46305,0.44543,0.46102
390,0.44303,0.4237,0.43713
400,0.42389,0.40296,0.41443
410,0.40768,0.38538,0.39563
420,0.39386,0.36997,0.38056
430,0.37969,0.35371,0.36584
440,0.36447,0.33614,0.35038
450,0.34936,0.31856,0.33547
460,0.33638,0.30352,0.32296
470,0.31954,0.28503,0.30678
480,0.30093,0.26539,0.289
490,0.28433,0.24855,0.27319
500,0.26958,0.23418,0.25908
510,0.25454,0.21999,0.24452
520,0.23724,0.20398,0.22745
530,0.21856,0.18707,0.20848
540,0.19975,0.17041,0.18875
550,0.18046,0.15361,0.16809
560,0.16186,0.13775,0.14812
570,0.14313,0.12223,0.12743
580,0.12416,0.10616,0.10591
590,0.10702,0.090647,0.086215
600,0.092752,0.07649,0.069981
610,0.08183,0.064376,0.057569
620,0.074921,0.056093,0.049823
630,0.071027,0.051576,0.045621
640,0.068588,0.049213,0.043065
650,0.066712,0.047635,0.041137
660,0.065083,0.046291,0.039468
670,0.063503,0.044883,0.037811
680,0.062056,0.043564,0.036297
690,0.060778,0.042414,0.034994
700,0.059606,0.041343,0.033808
710,0.058538,0.040345,0.032756
720,0.057509,0.039354,0.031748
730,0.056508,0.038357,0.030791
740,0.055567,0.03741,0.029974
750,0.054624,0.036432,0.029216
760,0.053635,0.035399,0.028459
770,0.052659,0.034405,0.027802
780,0.051682,0.033449,0.027232
